urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Kompanzasyon Ürün Grubu,AHF (Aktif Harmonik Filtre),AHF (Aktif Harmonik Filtre),Birden fazla modül kullanımında akım trafosu bağlantıları nasıl yapılır?,"AHF (Aktif Harmonik Filtre) cihazında, birden fazla modül kullanılması durumunda akım bağlantıları seri olarak yapılır.",No labels,https://destek.entes.com.tr/spaces/SP/pages/8421381/AHF+Aktif+Harmonik+Filtre
Kompanzasyon Ürün Grubu,SVG,SVG Ürününde Sabit Değer Tanımlama,SVG cihazında belirli bir gücün altında sabit değer tanımlayabilir miyim?,SVG cihazının ekranından hata ayıklama ekranına giriş yapılır. Akabinde yüksüz akım eşiği sınırı belirlenerek yüksük akım eşiği değeri girilir. Bu değer altında sistemde sabit olarak devreye alacağı reaktif güç değeri belirlenerek akım olarak - (indüktif) ve ya + (kapastif) değeri girilir. Cihaz yapılmış olan bu ayara göre işletmenin güç değeri ayarlanan sınır altına düştüğünde tanımlanmış olan reaktif gücü sabit olarak devrede tutar.,No labels,https://destek.entes.com.tr/spaces/SP/pages/8421379/SVG+%C3%9Cr%C3%BCn%C3%BCnde+Sabit+De%C4%9Fer+Tan%C4%B1mlama
Kompanzasyon Ürün Grubu,RGP Serisi,RGP-15SR sabit grup tanımlama hakkında,RGP-15SR kullanıyoruz sabit grup tanımlaması yapabiliyor muyuz?,Rölede sabit grup ayarı yapılabilmektedir. Ayarlar menüsünün altında bulunan kompanzasyon menüsinin içinde bulunan kompanzasyon sabit grup  menüsünden istediğiniz değeri tanımlayabiliyorsunuz.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983589/RGP-15SR+sabit+grup+tan%C4%B1mlama+hakk%C4%B1nda
Kompanzasyon Ürün Grubu,Statik Var Generatör,Statik Var Generatör  (SVG),SVG (Statik Var Generatör) hangi amaçla kullanılabilir?,"SVG (Statik Var Generatör) kompanzasyon, harmonik baskılama ve yük dengeleme amacı ile kullanılabilir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983381/Statik+Var+Generat%C3%B6r+SVG
Enerji Verimliliği Ürün Grubu,MPR-47S,Olay Kaydı Hakkında,Mpr-47S enerji analizörünüzü kullanıyorum kaç adet olay kaydını hafızasında tutmaktadır.,256 adet olay kaydını hafızasında tutmaktadır.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983349/Olay+Kayd%C4%B1+Hakk%C4%B1nda
Enerji Yönetimi Ürün Grubu,Enerthings,Enerthings fatura modülü kapsamında elde edilen veriler nasıl hesaplanır?,Enerthings fatura modülü kapsamında elde edilen veriler nasıl hesaplanır? Esas ve referans veri kaynakları nelerdir?,Sisteme kayıtlı cihazların log verileri esas alınarak hesaplanır. Log verilerine referans olarak cihazın indeks kayıtları da rapor ekranında gösterim yapılır.,log;enerthings;fatura,https://destek.entes.com.tr/spaces/SP/pages/983413/Enerthings+fatura+mod%C3%BCl%C3%BC+kapsam%C4%B1nda+elde+edilen+veriler+nas%C4%B1l+hesaplan%C4%B1r
Enerji Yönetimi Ürün Grubu,Enerthings,Enerthings sisteminde cihazlar fatura modülü ile nasıl kullanılır?,Enerthings sisteminde cihazlar fatura modülü ile nasıl kullanılır?,Tesis inşası alanında açılan her bir bölüm fatura modülü kapsamında bir cihaza karşılık gelmektedir. Açılan bu bölümlerin doğrudan kendisine cihaz atması yapılarak kullanım sağlanır. Bölüm içine ayrıca açılan yükler geçerli sayılmaz.,enerthings;fatura;tarife;maliyet,https://destek.entes.com.tr/spaces/SP/pages/983288/Enerthings+sisteminde+cihazlar+fatura+mod%C3%BCl%C3%BC+ile+nas%C4%B1l+kullan%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,EMK-01,EMK-01 Haberleşme Seçenekleri Nasıl Belirlenir?,EMK-01 Kalite analizörü ile aynı anda ethernet ve RS-485 üzerinden haberleştirebilir mi?,"Cihazın iki haberleşme kanalından da aynı anda haberleşme sağlamak mümkündür. Burada dikkat edilmesi gereken, cihazın kendi ayar yazılımı olan PMS Client üzerindeki “TCP Converter” seçeneğinin pasif olması gerekliliğidir.",emk-01,https://destek.entes.com.tr/spaces/SP/pages/983322/EMK-01+Haberle%C5%9Fme+Se%C3%A7enekleri+Nas%C4%B1l+Belirlenir
Koruma & Kontrol Ürün Grubu,DTR Serisi Astronomik Zaman Rölesi,"DTR Serisi Ürünlerde C1, C2 Sayı Ve C1, C2 Süre Bilgisi",DTR serisi cihazların ekranında C1 ve C2 süre ve sayı bilgileri ne anlama geliyor?,"Süre olarak karşımıza çıkan ekranda kontakların çekili kaldığı süre olarak , sayı olarak karşımıza çıkan ekranda ise kontakların kaç defa devreye girip çıktığı bilgisi verilmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983509/DTR+Serisi+%C3%9Cr%C3%BCnlerde+C1+C2+Say%C4%B1+Ve+C1+C2+S%C3%BCre+Bilgisi
Kompanzasyon Ürün Grubu,Tümü,Kondansatörlerin Dielektrik Kaybı Hakkında Bilgi,Bir Projede  CXD  serisi kondansatörleri kullandık bu kondansatörlerin dielektrik kayıpları lazım.,"Dielektrik kaybı 0,2W/kVAr’dır.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983591/Kondansat%C3%B6rlerin+Dielektrik+Kayb%C4%B1+Hakk%C4%B1nda+Bilgi
Enerji Yönetimi Ürün Grubu,Enerthings,Enerthings sistemi SMS bilgilendirmesi yapılabilir mi?,Enerthings sistemi üzerinden kayıtlı telefon numaralarına sms bilgilendirme yapılabilir mi?,Enerthings sistemi sms iletisi oluşturma ve gönderme alt yapısına sahiptir. Bu özeliğin kullanılabilmesi için sunucunun internet erişimi olması gerekir. ENTES müşteri hizmetleri ile iletişime geçerek entegratör firma bilgilerini elde etmelisiniz. Sonrasında bu firma ENTES yazılımlarında kullanılması üzerine SMS paketi satın alımı yapmanız gerekmektedir. Alım sonrası elde edilen kullanıcı bilgilerinizi sistem parametreleri alanına giriş yaparak kullanmaya başlayabilirsiniz.,internet;enerthings;sms,https://destek.entes.com.tr/spaces/SP/pages/983331/Enerthings+sistemi+SMS+bilgilendirmesi+yap%C4%B1labilir+mi
Enerji Yönetimi Ürün Grubu,"MPR-4X, MPR-2X, RGA, RGSR, RGP",Enerji Doktorunda Tanımlı Donanımların Log Kayıt Süreleri Hk.,"Enerthings yazılımında tanımlı olan yeni nesil donanımların log kayıt sürelerinde değişiklik yapıldığında, belirli bir süre sonra log kayıt aralığı neden tekrar 15 dakika olarak görünmektedir?","Enerji Doktoru / Enerthings yazılım modellerimizde mimari gereği, cihazlar haberleşmeye başladığında donanımların log kayıt süreleri 15 dakika olarak ayarlanır ve saat/tarih değerleri sunucu zaman bilgisiyle senkronize edilir.",rgsr;mpr-4;mpr-2;rgp;rga,https://destek.entes.com.tr/spaces/SP/pages/983594/Enerji+Doktorunda+Tan%C4%B1ml%C4%B1+Donan%C4%B1mlar%C4%B1n+Log+Kay%C4%B1t+S%C3%BCreleri+Hk.
Enerji Verimliliği Ürün Grubu,ES3-80LS7LSE,ES3-80LS/LSE Bağlantısı,ES3-80LS/LSE ürünlerinin bağlantıları nasıl yapılır?,"Ürün üzerinde giriş ve çıkış klemensleri bulunmaktadır. Cihazın üst tarafında bulunan L1 İn - L2in L3in klemensleri enerji giriş klemensleri olup, cihazın alt tarafında bulunan L1out - L2out- L3out klemensleri çıkış bağlantılarının yapıldığı klemensleridir.  Cihazın üst tarafında bulun Nin girişi ise cihazın yardımcı beslemesi için kullanılacak olan Nötr girişidir. Bağlantılar akım trafosuz 80A kadar olup enerji ölçümü yapılacak olan cihaz ile besleme sigortası arasında seri bağlantı yapılarak kullanılır.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983530/ES3-80LS+LSE+Ba%C4%9Flant%C4%B1s%C4%B1
Koruma & Kontrol Ürün Grubu,ELR-30M,ELR-30M Hakkında,Cihazı çalıştıramadık bağlantısı hakkında bilgi alacaktık,Cihaz bağlantı klemeslerinde L1(+) L2(-) yazan klemeslerine 220-415VAC gerilim uygulamanız gerekmektedir.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983410/ELR-30M+Hakk%C4%B1nda
Enerji Verimliliği Ürün Grubu,MM-120,MM-120 Hakkında,MM-120 ürünün alarm girişi için kullanacağım bağlantısı nasıl olmalıdır.,"1 nolu klemense harici güç kaynağının Eksi ( - )  ucu bağlanmaktadır.
Hangi dijital giriş (1 veya 2 )  kullanılacaksa dijital girişe aynı güç kaynağının Artı ( + )  ucu alarm girişi olarak bağlayabilirsiniz.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983264/MM-120+Hakk%C4%B1nda
Enerji Yönetimi Ürün Grubu,Enerthings,"Elektrik, Su ve Gaz sayaç değerlerinin sisteme eklenmesi ve raporlanması",Enerji izleme sistemi üzerinde izlemesini yapmadığımız su ve gaz sayaçlarının aylık tüketim verilerini sistemde görüntülenebilir mi?,Sayaçlara ait aylık tüketim değerleri “Tüketim Detayları/Verileri Düzenleme” alanından ilgili sayaç tipine göre girişi sağlanarak tek ekranda tümleşik raporlama olarak sonuç alınabilir.,enerthings;sayaç;gaz;veri;elektrik;su,https://destek.entes.com.tr/spaces/SP/pages/983448/Elektrik+Su+ve+Gaz+saya%C3%A7+de%C4%9Ferlerinin+sisteme+eklenmesi+ve+raporlanmas%C4%B1
Enerji Yönetimi Ürün Grubu,EMR-XX,EMR serisi donanımlarda Log Reader ile rapor günlüklerinin seçilememesi,"EMR serisi v.1.23’ den önceki donanımlarda Log Reader ile rapor çekilirken, rapor günlüklerinin seçilememesi durumu.","V.1.23’ den önceki sürümlere ait donanımlarda log profilleri fabrika çıkışlı kapalıdır. Log profillerinin ilgili register adresleri ile modbus üzerinden aktif edilmelidir. (Adress Decimal 21000, 21004, 21008, 21012, 21016)
Sonrasında Log Reader ara yüzünde rapor günlükleri seçilebilir hale gelecektir.",emr,https://destek.entes.com.tr/spaces/SP/pages/983380/EMR+serisi+donan%C4%B1mlarda+Log+Reader+ile+rapor+g%C3%BCnl%C3%BCklerinin+se%C3%A7ilememesi
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,ENTBUS Pro Sanal Cihaz Veri Göstermiyorsa Ne Yapılmalıdır?,ENTBUS Pro Sanal Cihaz Veri Göstermiyorsa Ne Yapılmalıdır?,"Sanal cihaz uygulamasında detay ayarları ve "" virtualVTS"" isimli servisi kontrol ederek çözüm sağlayabilirsiniz. Oluşturulan sanal cihazın parametrelerinin formüle edilmesi gerekir. (Imwh, Exwh, IndVarh ve CapVarh)",entbuspro;entbus;virtual;sanal,https://destek.entes.com.tr/spaces/SP/pages/983532/ENTBUS+Pro+Sanal+Cihaz+Veri+G%C3%B6stermiyorsa+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Verimliliği Ürün Grubu,EMM-04,EMM-04 Monafaze Bağlantısı Hakkında,Elimde EMM-04 multimetre var ben bu cihazı monafaze olarak kullanmak istiyorum mümkün mü?,"Emm serisi multimetrelerimiz de tanımlanmış alarmlar mevcuttur. Bu alarmlar faz yokluğu ve faz sırası cihazı tek faz gerilim  bağlandığınız da bu alarmlara maruz kalacaksınız.
Bu alarmlar ertelemeyle geciktirilir fakat iptal edilemez.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983557/EMM-04+Monafaze+Ba%C4%9Flant%C4%B1s%C4%B1+Hakk%C4%B1nda
Enerji Yönetimi Ürün Grubu,"ES3X, ESX","Enerji Doktoru ESX, ES3X Tesis Ataması Hk.",ES serisi enerji sayaçlarının Enerjidoktoru / Enerthings yazılımında tesis inşasına elektrik sayacı harici bir yük ataması yapılamamaktadır.,ES serici ürünler elektrik sayacı kategorisine dahil olmasından dolayı Enerjidoktoru / Enerthings yazılımında tesis inşasında sadece elektrik sayacı olarak yük ataması yapılabilmektedir.,es-80ls;es3-63lse;es3-63ls;es3-80ls;es3-80lse,https://destek.entes.com.tr/spaces/SP/pages/983485/Enerji+Doktoru+ESX+ES3X+Tesis+Atamas%C4%B1+Hk.
Enerji Yönetimi Ürün Grubu,"EPRX, MPR6X, MPR5X",Eski Nesil Ürünler ve Enerji Doktoru/Enerthings Rapor Modülleri,Eski nesil ürünlerin Enerji Doktoru/Enerthings yazılımlarındaki tesis raporu ve periyodik değerler raporunda geriye dönük log verileri görüntülenememektedir.,Eski nesil ürünlerde log yapısının olmaması ve de eski mimari log özelliği bulunmasından dolayı bu rapor modüllerinde görüntüleme sağlanamamaktadır. Bu raporların kullanılabilmesi için yeni nesil loglu ürünlerin tercih edilmesi gereklidir.,mpr-6;epr;tesisraporu;periyodikdeğerlerraporu;mpr-5,https://destek.entes.com.tr/spaces/SP/pages/983474/Eski+Nesil+%C3%9Cr%C3%BCnler+ve+Enerji+Doktoru+Enerthings+Rapor+Mod%C3%BClleri
Enerji Verimliliği Ürün Grubu,Analizör,Sekonderi X1 Ve Ya X5 Akım Trafoları Hangi Ürünler İle Çalışır,Entes PM Enerji Analizörlerinde Sekonderi X1 Ve Ya X5 Akım Trafosu Bağlanıp Kullanıla Bilir Mi?,"Entes Plug Meter ( PM ) Özellikli Ürünlerin Akım Girişleri 0,333MV Girişli'dir. Bu Yüzden X1 Ve Ya X5 Akım Trafoları Bağlanılamaz , Sekonder Çıkışı 0,333MV Akım Trafosu Kullanılmalıdır.",cct;0;meter;analizör;plug;333mv,https://destek.entes.com.tr/spaces/SP/pages/983412/Sekonderi+X1+Ve+Ya+X5+Ak%C4%B1m+Trafolar%C4%B1+Hangi+%C3%9Cr%C3%BCnler+%C4%B0le+%C3%87al%C4%B1%C5%9F%C4%B1r
Enerji Verimliliği Ürün Grubu,ES3 Serisi Enerji ve Güç Ölçer,ES3 Serisi Enerji ve Güç Ölçer,ES3 serilerinde kaç ampere kadar ölçüm yapabilirim?,"ES3 Serisi Güç ve Enerji Ölçer cihazlar için ES3-63LS/LSE modelinde maksimum 63 Amper, ES3-80LS/LSE modellerinde maksimum 80 Ampere kadar direkt ölçüm yapılabilmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983211/ES3+Serisi+Enerji+ve+G%C3%BC%C3%A7+%C3%96l%C3%A7er
Enerji Verimliliği Ürün Grubu,EVM-3,EVM-3 Voltmetrenin Bağlantıları,EVM-3 Bağlantı klemenslerinde ölçüm bağlantısıyla besleme girişine aynı fazdan besleme versem ölçümde problem olur mu?,EVM-3'ün arkasında bulunan u-n klemensi ürünün kendi beslemesi için kullanılır. Ölçüm klemensi gerilim bilgisi için kullanılır. Ürünün beslendiği faz ile ölçüm yapılacak faz aynıysa bir problem yoktur. Fakat besleme yapılan faz ile ölçüm yapılacak farklıysa ölçüm klemensine ölçüm yapılacak fazdan bağlantı yapılmalıdır.,evm-3,https://destek.entes.com.tr/spaces/SP/pages/983411/EVM-3+Voltmetrenin+Ba%C4%9Flant%C4%B1lar%C4%B1
Kompanzasyon Ürün Grubu,Şönt Reaktörler,Şönt reaktör neden aşırı ısınır?,Şönt reaktör neden aşırı ısınır. Böyle durumlarda ne yapılması gerekir. Isı Termik ayarları kaç dereceye kadardır.,"Tek veya üç faz, yüksek geçirgenlikli, hava boşluklu tasarım Sargılarda 155°C dayanımlı F izolasyon sınıfı yalıtım malzemesi Müşteri şartnamelerine uygun tasarım Aşırı yükten koruyan termik koruma Isı kayıplarını azaltarak verimliliği artıran, neme karşı koruma ve sessiz çalışmasına olanak sağlayan vakum emprenye vernik yöntemi CE işaretli EN 61558 2-20 ile uyumlu dur.
Aşırı yükten koruyan termik sargı sıcaklığı  130°C ulaştığında açmaktadır.
Gövde üzerinde 110°C  kadar sıcaklıkların olması normaldir.
Şönt reaktör ısınma sebepleri başlıca;
Şönt reaktörü termik bağlantılarını kullanmadan sisteme bağlandıysa aşırı çalışmadan dolayı ısınmaya sebebiyet vermiş olabilir.
Şönt reaktörün bulunduğu ortamda sağlıklı hava sirkülasyonun olmaması ;
Şönt reaktörün bulunduğu ortamın aşırı sıcak olması;
Şönt reaktörün bulunduğu ortamın soğutulması yada bir fan yardımıyla sıcak ortamın havasının sirkülasyon yapılması;",No labels,https://destek.entes.com.tr/spaces/SP/pages/983547/%C5%9E%C3%B6nt+reakt%C3%B6r+neden+a%C5%9F%C4%B1r%C4%B1+%C4%B1s%C4%B1n%C4%B1r
Enerji Yönetimi Ürün Grubu,GEMO-10-3G-SH,ETMO veya GEMO serisi modemler ile elektrik sayacı okunabilir mi?,ETMO veya GEMO serisi modemler ile elektrik sayacı okunabilir mi?,Elektrik sayacı okunabilmesi sadece Gemo-10-3G-SH tipi modem ile mümkün olabilmektedir. Enerji Doktoru ve Enerthings yazılımlarında yapılacak güncelleme ile optik port bağlantısı üzerinden de okunabilmesi mümkün olacaktır.,optik;sayaç;gemo;enerthings;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983314/ETMO+veya+GEMO+serisi+modemler+ile+elektrik+sayac%C4%B1+okunabilir+mi
Kompanzasyon Ürün Grubu,Sürücülü Reaktif Röleler,Entes Sürücü Destekli Reaktif Güç Kontrol Rölelerine Kaç Adet Sürücü ( SR ) Bağlanabilir.,"Kompanzasyon Panomda 90kVar Şönt Reaktör Bulunmaktadır , Şönt Reaktörlerin Tümünü Sürücü Üzerinden Sürmek İstiyorum. Nasıl Bir Yol İzlemeliyim Ve Bir'den Fazla Sürücü Bağlaya Bilir Miyim?","Entes Sürücü Destekli Reaktif Güç Kontrol Rölelerine En Fazla Üç Adet Sürücü Bağlanabilir. Bağlantısı Reaktif Röle Üzerinden T1 Çıkış Ucunu Paralel Olarak Sürücülerin Üzerinden Bağlanmalıdır.
Ayrıca Önemli Bir Husus Olarak Termik Bağlantılarının Şönt Reaktörler Üzerinden Seri Olarak Bağlanmalıdır.",sürücü;reaktörler;röle;kompanzasyon;şönt,https://destek.entes.com.tr/spaces/SP/pages/983210/Entes+S%C3%BCr%C3%BCc%C3%BC+Destekli+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerine+Ka%C3%A7+Adet+S%C3%BCr%C3%BCc%C3%BC+SR+Ba%C4%9Flanabilir.
Enerji Verimliliği Ürün Grubu,ES3-80LS,ES3-80LS Tarife Seçenekleri Ne İşe Yarar,ES3-80LS sayaçlarda 1.8.0 tüketim bölümüne gelindiğinde T1-T2-T3 ne anlama gelmektedir.,Aktif tüketim 1.8.0 bölümüme gelinip set tuşuna basıldığında çıkan T1-T2-T3 değerleri günün 3'e bölünmüş halidir. toplam tüketimde günün 8 saatlik dilimlerinde yapılan tüketimi yazmaktadır.,es3-80ls,https://destek.entes.com.tr/spaces/SP/pages/983199/ES3-80LS+Tarife+Se%C3%A7enekleri+Ne+%C4%B0%C5%9Fe+Yarar
